0 17.661 18.914 10.529 9.8261 14.126 9.2538 17.415 21.185 5.5145 37.323 35.066 37.44
17.661 0 15.296 15.063 18.89 22.491 21.815 18.04 21.594 10.867 26.614 20.184 29.023
18.914 15.296 0 10.041 13.722 14.736 19.537 8.7515 6.5528 12.112 18.301 21.777 19.112
10.529 15.063 10.041 0 5.5053 8.8368 13.895 5.0967 12.735 7.1371 28.082 30.953 28.924
9.8261 18.89 13.722 5.5053 0 5.8768 11.411 8.937 15.087 12.886 35.034 32.942 32.378
14.126 22.491 14.736 8.8368 5.8768 0 16.569 12.912 17.644 12.335 36.406 35.119 32.92
9.2538 21.815 19.537 13.895 11.411 16.569 0 16.832 20.509 9.4316 40.748 42.739 42.982
17.415 18.04 8.7515 5.0967 8.937 12.912 16.832 0 5.8279 12.119 25.632 33.125 25.118
21.185 21.594 6.5528 12.735 15.087 17.644 20.509 5.8279 0 17.106 19.285 33.013 17.209
5.5145 10.867 12.112 7.1371 12.886 12.335 9.4316 12.119 17.106 0 32.362 29.866 32.901
37.323 26.614 18.301 28.082 35.034 36.406 40.748 25.632 19.285 32.362 0 34.47 9.8141
35.066 20.184 21.777 30.953 32.942 35.119 42.739 33.125 33.013 29.866 34.47 0 12.048
37.44 29.023 19.112 28.924 32.378 32.92 42.982 25.118 17.209 32.901 9.8141 12.048 0
